City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
461,tongchuanshi,35.0806,109.0897,280.26,54,100,4.57,CN,1699580016
462,luderitz,-26.6481,15.1594,288.33,87,93,0.43,NA,1699580016
463,san patricio,28.017,-97.5169,298.06,86,100,1.56,US,1699580017
464,bubaque,11.2833,-15.8333,301.9,60,75,5.79,GW,1699580017
465,warrnambool,-38.3833,142.4833,296.77,48,64,1.93,AU,1699580018
466,kinkala,-4.3614,14.7644,295.3,98,100,1.4,CG,1699580018
467,kontagora,10.3999,5.4695,297.63,35,96,1.75,NG,1699580018
468,marakkanam,12.2,79.95,300.8,77,100,3.89,IN,1699580019
469,bamboo flat,11.7,92.7167,299.2,94,40,1.03,IN,1699580020
470,arkhangel'sk,64.5401,40.5433,267.66,97,99,1.3,RU,1699580020
471,uttarkashi,30.7333,78.45,286.13,43,0,2.56,IN,1699580021
472,sihanoukville,10.6093,103.5296,299.12,94,40,0.51,KH,1699580021
473,gulf shores,30.246,-87.7008,294.86,77,100,4.38,US,1699580022
474,rio gallegos,-51.6226,-69.2181,284.18,37,0,3.09,AR,1699580022
475,ancud,-41.8697,-73.8203,280.96,88,6,0.73,CL,1699580022
476,wladyslawowo,54.7909,18.4009,283.11,77,100,7.26,PL,1699580023
477,gambela,8.25,34.5833,294.23,93,96,1.61,ET,1699580023
478,hanzhong,33.0728,107.0303,287.06,71,93,2.35,CN,1699579995
479,mont-dore,-22.2833,166.5833,301.14,64,95,6.57,NC,1699580024
480,holualoa,19.6228,-155.9522,300.65,75,40,4.12,US,1699580025
481,shevchenko,48.5,35.0,279.39,83,6,2.27,UA,1699580025
482,chernyshevsk,52.5243,117.0174,261.26,63,18,1.29,RU,1699580026
483,librazhd-qender,41.1969,20.3356,282.11,86,81,2.09,AL,1699580000
484,tarawa,1.419,172.984,304.2,74,75,1.54,KI,1699580027
485,mul,20.0667,79.6667,293.7,58,34,1.33,IN,1699580028
486,eastham,41.8301,-69.9739,282.58,84,100,0.0,US,1699580028
487,merizo village,13.2658,144.6691,304.03,82,100,7.8,GU,1699580029
488,stiens,53.2623,5.7577,281.47,85,100,5.66,NL,1699580029
489,grand falls-windsor,48.9332,-55.6649,274.54,91,100,2.68,CA,1699580029
490,calvinia,-31.4707,19.776,292.73,26,7,3.88,ZA,1699580030
491,klintsy,52.7602,32.2393,275.97,93,10,2.97,RU,1699580031
492,robbah,33.2797,6.9098,289.95,61,9,3.32,DZ,1699580031
493,plettenberg bay,-34.0527,23.3716,288.62,78,0,1.61,ZA,1699580032
494,santa elena de uairen,4.6167,-61.1333,293.77,90,98,1.12,VE,1699580032
495,matamey,13.4231,8.4749,297.64,17,58,4.0,NE,1699580033
496,taulaga,-11.0553,-171.0883,301.96,77,71,6.84,AS,1699580033
497,zhaqsy,51.9083,67.3133,275.97,77,100,5.38,KZ,1699580034
498,wau,7.7029,27.9953,296.37,81,91,1.11,SS,1699580034
499,undurkhaan,47.3194,110.6556,253.08,90,5,1.89,MN,1699580035
500,nadi,-17.8,177.4167,306.15,52,75,4.63,FJ,1699579976
501,bosaso,11.2842,49.1816,298.58,73,18,0.62,SO,1699580036
502,quepos,9.4236,-84.1652,299.59,87,39,0.63,CR,1699580036
503,songjianghe,42.1859,127.479,264.83,72,79,4.28,CN,1699580036
504,hammerfest,70.6634,23.6821,274.4,86,75,7.72,NO,1699580037
505,harstad,68.799,16.5293,274.9,89,100,8.49,NO,1699580037
506,kouango,4.9934,19.9619,294.94,97,100,2.01,CF,1699580038
507,la passe,45.5549,-0.8967,284.25,75,100,9.15,FR,1699580038
508,casas grandes,30.3667,-107.95,288.29,57,68,2.51,MX,1699580038
509,leava,-14.3,-178.1667,300.04,85,100,5.36,WF,1699580039
510,saint-francois,46.4154,3.9054,280.84,94,100,2.06,FR,1699580039
511,howrah,22.5892,88.3103,294.15,88,6,0.0,IN,1699580039
512,coyhaique,-45.5752,-72.0662,282.49,70,0,1.03,CL,1699580040
513,yokote,39.3,140.5667,286.24,62,100,0.86,JP,1699580040
514,vilhena,-12.7406,-60.1458,298.15,62,79,1.49,BR,1699580041
515,pueblo,38.2545,-104.6091,280.04,62,0,0.0,US,1699579777
516,ustyuzhna,58.8394,36.4321,277.33,94,100,1.85,RU,1699580041
517,atmakur,15.8833,78.5833,296.4,90,21,1.7,IN,1699580042
518,jeddah,21.5169,39.2192,301.07,54,40,5.66,SA,1699580043
519,balykchy,42.4557,76.1861,276.37,91,100,3.68,KG,1699580043
520,vila franca do campo,37.7167,-25.4333,293.38,99,10,5.2,PT,1699580044
521,svetlyy,54.675,20.1347,280.35,77,100,7.51,RU,1699580045
522,fruitland,38.3221,-75.6202,291.15,89,75,1.54,US,1699580045
523,katsuura,35.1333,140.3,294.57,66,100,6.58,JP,1699580045
524,olomouc,49.5955,17.2518,283.06,100,100,4.18,CZ,1699580046
525,kotel'nikovo,47.6317,43.1461,280.08,80,39,7.66,RU,1699580047
526,artigas,-30.4,-56.4667,291.51,90,75,6.4,UY,1699580047
527,guillena,37.5426,-6.0563,288.68,85,76,0.0,ES,1699580048
528,kyren,51.6828,102.1408,258.68,87,2,0.89,RU,1699580048
529,bogale,16.2833,95.4,299.6,74,74,2.1,MM,1699580049
530,yuanping,38.7153,112.7575,273.42,19,99,2.59,CN,1699580050
531,wang sai phun,16.3885,100.538,300.71,81,94,0.52,TH,1699580051
532,bardai,11.65,7.2333,295.26,23,57,2.12,NG,1699580051
533,jiayuguan,39.8167,98.3,273.29,30,8,2.29,CN,1699580052
534,kashgar,39.4547,75.9797,282.71,27,75,3.0,CN,1699580052
535,kone,-21.0595,164.8658,299.41,48,94,3.4,NC,1699580053
536,ceeldheer,3.8488,47.1806,299.59,81,55,6.48,SO,1699580053
537,ulety,51.3572,112.4849,261.65,76,28,2.34,RU,1699580053
538,xiahu,26.6106,119.9483,295.15,87,86,3.23,CN,1699580054
539,ejura,7.3856,-1.3562,297.19,88,98,1.7,GH,1699580054
540,barra de santo antonio,-9.4047,-35.5072,296.75,82,4,3.45,BR,1699580054
541,tongging,2.8969,98.5262,295.39,87,100,0.79,ID,1699580055
542,maintirano,-18.0667,44.0167,298.72,84,100,3.19,MG,1699580055
543,mount pleasant,32.7941,-79.8626,292.59,91,0,2.06,US,1699579954
544,ponta delgada,37.7333,-25.6667,293.55,94,20,6.17,PT,1699580056
545,carbonear,47.7332,-53.2148,276.83,91,100,11.69,CA,1699580056
546,cromwell,41.5951,-72.6454,280.12,92,100,0.0,US,1699580057
547,aflou,34.1128,2.1023,281.89,56,92,4.01,DZ,1699580057
548,piti village,13.4626,144.6933,304.2,76,100,7.22,GU,1699580057
549,kapa'a,22.0752,-159.319,301.33,78,0,3.58,US,1699580058
550,bandarbeyla,9.4942,50.8122,299.22,81,100,6.39,SO,1699580058
551,chernyshevskiy,63.0128,112.4714,262.5,93,100,3.6,RU,1699580059
552,kill devil hills,36.0307,-75.676,293.14,78,0,2.57,US,1699579861
553,mawlamyinegyunn,16.3833,95.2667,299.74,73,49,2.05,MM,1699580059
554,jinghong,21.991,100.7341,298.32,67,0,0.68,CN,1699580060
555,antofagasta,-23.65,-70.4,291.75,77,90,3.04,CL,1699580060
556,lomo de arico,28.1667,-16.4833,291.95,66,0,3.6,ES,1699580061
557,cambria,35.5641,-121.0808,292.56,78,100,0.45,US,1699580061
558,lagunas,-5.2269,-75.6753,296.88,96,99,1.12,PE,1699580062
559,zhangatas,43.5667,69.75,278.42,74,0,3.1,KZ,1699580062
560,oppdal,62.5943,9.6912,270.24,93,100,3.49,NO,1699580063
561,woolgoolga,-30.1106,153.2007,299.28,73,82,7.04,AU,1699580064
562,eydhafushi,5.1033,73.0708,300.83,77,100,1.98,MV,1699580064
563,dorentrup,52.0411,9.0028,280.42,90,67,0.45,DE,1699580064
564,saint-georges,12.0564,-61.7485,300.97,83,40,5.66,GD,1699580065
565,otyniya,48.7377,24.8611,276.75,75,100,1.92,UA,1699580066
566,ha'il,27.5219,41.6907,288.16,63,0,2.06,SA,1699580066
567,sola,-13.8833,167.55,299.33,84,97,11.63,VU,1699580068
568,taroa,8.7058,171.2275,299.68,88,100,8.27,MH,1699580068
569,basoko,1.2391,23.616,294.87,97,100,0.59,CD,1699580069
570,sirinhaem,-8.5908,-35.1161,297.51,84,15,3.02,BR,1699580070
571,vernon,50.2581,-119.2691,280.16,87,100,1.03,CA,1699580071
572,blagoveshchenka,52.8333,79.8667,277.05,92,100,3.85,RU,1699580071
573,york,40.1254,-77.0,287.7,48,0,3.6,US,1699580073
574,pangkalanbuun,-2.6833,111.6167,304.17,59,94,0.9,ID,1699580073
575,mossel bay,-34.1831,22.146,289.09,77,0,3.56,ZA,1699580075
576,mimizan,44.2006,-1.2289,286.97,86,100,9.0,FR,1699580075
577,kirakira,-10.4544,161.9205,301.12,81,100,5.57,SB,1699580076
578,praia da vitoria,38.7333,-27.0667,294.29,88,40,8.74,PT,1699580076
579,hualien city,23.9769,121.6044,301.47,61,5,1.68,TW,1699580077
580,colonia,50.9333,6.95,281.42,85,40,4.63,DE,1699580066
581,necochea,-38.5473,-58.7368,287.1,49,4,8.59,AR,1699580078
582,bathsheba,13.2167,-59.5167,301.49,78,40,8.23,BB,1699580079
583,sao joao da barra,-21.6403,-41.0511,295.47,87,0,5.54,BR,1699580079
584,turkmenbasy,40.0222,52.9552,290.58,36,0,5.14,TM,1699580080
585,rodino,52.5,80.25,276.03,93,100,4.04,RU,1699580080
586,guayaramerin,-10.8368,-65.3614,300.17,65,25,0.69,BO,1699580080
587,skovorodino,53.9833,123.9167,261.84,47,97,4.34,RU,1699580081
